id,organization,first_name,last_name,category_id,category,business_type,sex,phone_number_1,phone_number_1_organizational_position,phone_number_1_name,phone_number_1_ex,phone_number_1_note,phone_number_2,phone_number_2_name,phone_number_2_organizational_position,phone_number_2_ex,phone_number_2_note,phone_number_3,phone_number_3_name,phone_number_3_organizational_position,phone_number_3_ex,phone_number_3_note,phone_number_4,phone_number_4_name,phone_number_4_organizational_position,phone_number_4_ex,phone_number_4_note,phone_number_5,phone_number_5_name,phone_number_5_organizational_position,phone_number_5_ex,phone_number_5_note,phone_number_6,phone_number_6_name,phone_number_6_organizational_position,phone_number_6_ex,phone_number_6_note,fax,mobile_number_1,mobile_number_1_name,mobile_number_1_note,mobile_number_1_email,mobile_number_2,mobile_number_2_name,mobile_number_2_note,mobile_number_2_email,mobile_number_3,mobile_number_3_name,mobile_number_3_note,mobile_number_3_email,mobile_number_4,mobile_number_4_name,mobile_number_4_note,mobile_number_4_email,province,city,address_1,postal_code_1,address_2,postal_code_2,address_3,postal_code_3,description,customer_id,color,note,created_at,modified_at,owner,latest_editor,latest_editor_log,deleted_data,active
69,پل پارس,سعید,محرابی,, مشتریان صنعت رنگ,تولید کننده رنگ پودری,,021-22593038,,,,,021-22312042,,,,,025-33340155,,,,,025-33340154,,,,,,,,,,,,,,,,"09123056860, 09196431134",,,,,,,,,,,,,,,,تهران,تهران,"آدرس 1 (پستی) : تهران، خیابان پاسداران، روبروی گلستان 7، پلاک 382، طبقه سوم، واحد 9 ایران تهران تهران آدرس 2 : تهران، جاده قدیم قم، 20کیلومتر مانده به قم، شهرک صنعتی شکوهیه، جنب پاسگاه، خیابان سنبل، کوچه اقاقیا، پلاک 1",1945934533,,,,,,,,,,,,,,,
70,پلی اکریل ایران,,,, مشتریان صنعت رنگ,تولید کننده مواد اولیه,, 033-35527505,,,,,033-35527596,,,,, 033-35526666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اصفهان,اصفهان,"ایران اصفهان اصفهان  کیلومتر45جاده اصفهان مبارکه، شرکت پلی اکریل ایران",,,,,,,,,,,,,,,,
71,پلی رزین,,,, مشتریان صنعت رنگ,,,021-88727070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"خیابان مطهری، روبروی خیابان صنایی، پلاک 267",1586716714,,,,,,,,,,,,,,,
72,پلی گام,,,, مشتریان صنعت رنگ,مصرف کننده,,021-88371900,,,,,021-88371907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شهرک غرب، بلوار دریا، خیابان موج، خیابان اصغری غربی،پلاک 31",,,,,,,,,,,,,,,,
73,پلیمر طلایی یزد,,,, مشتریان صنعت رنگ,مصرف کننده,,021-88665092,,,,,021-88665094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران میدان آرژانتین، خیابان الوند، کوچه آویز، پلاک 35، زنگ سوم",,,,,,,,,,,,,,,,
74,پوشرنگ ماهدیس,,,, مشتریان صنعت رنگ,,, 021-22058858,,,,,021-22056441,,,,,021-22055858,,,,,021-26124897,,,103,,,,,,,,,,,,"021-22057408, 021-26124887",09121993234,,,,,,,,,,,,,,,,,,"جردن، ناهید شرقی، پلاک 18، طبقه سوم",,,,,,,,,,,,,,,,
75,پوشش فام,,,, مشتریان صنعت رنگ,تولید کننده رنگ پودری,,021-73061,,,,,021-77338605,,,,,021-77968198,,,,,,,,,,,,,,,,,,,,021-77963715,"09121760016, 09121247596",,,afshin@poosheshfam.com,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1(پستی) : تهران، جاده آبعلی، خیابان سازمان آب، کوچه دوم غربی، پلاک 8",1658984611,,,,,,,,,,,,,,,
76,پوشش لوله سلفچگان,,,, مشتریان صنعت رنگ,,,88874627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88773124,09124941945,,,,,,,,,,,,,,,,,,"آدرس 1(پستی) : تهران، بزرگراه آفریقا، نرسیده به پل میرداماد، کوچه شهید عمدی، شماره 4، واحد 3",1518954714,,,,,,,,,,,,,,,
77,پومکس آریا سپیدار,,,, مشتریان صنعت رنگ,,,66381265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,پویا پلیمر,,,, مشتریان صنعت رنگ,مصرف کننده,, 021-88799300,,,,,021-88786195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
79,پویان فام جاوید,,,, مشتریان صنعت رنگ,,, 035-37275153,,,,,9133577363,,,,,,,,,,,,,,,,,,,,,,,,,035-37275154,09121966513,,,,,,,,,,,,,,,,یزد,یزد,"ایران یزد یزد آدرس 1 : یزد، منطقه ویژه اقتصادی، میدان صادرات،خیابان صنعت 3",8947188151,,,,,,,,,,,,,,,
80,پیشگام تجارت وارنا,,,, مشتریان صنعت رنگ,مصرف کننده,, 021-66972568,,,,,021-66485569,,,,,,,,,,,,,,,,,,,,,,,,,,09122372006,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
81,پیشگامان شیمی آکام,,,, مشتریان صنعت رنگ,,,460278880,,,,,9124191947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"آدرس 1(پستی) : تهران، شهر قدس، پشت نفت پارس، خیابان شهید محلاتی ، کوچه میثاق، پلاک 36، طبقه همکف",3753143155,,,,,,,,,,,,,,,
82,تابا شیمی,,,, مشتریان صنعت رنگ,مصرف کننده,,021-77339775,,,,,021-77335026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
83,تارا شیمی,مسعود,صادقی,, مشتریان صنعت رنگ,,,025-36156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09121517950, 09123513745",,,,,,,,,,,,,,,,,,"آدرس 1(پستی) :قم، بلوار الغدیر، مقابل بوستان علوی، نبش کوچه 55 آدرس 2 :جاده قم،  شهرک صنعتی شکوهیه، بلوار خامنه ای، کوچه 7، پلاک 283  گروه صنعتی تارا شیمی",3716193471,,,,,,,,,,,,,,,
84,ترموکالر,,مجیدیان,, مشتریان صنعت رنگ,تولید کننده رنگ پودری,, 021-44525635,,,,,021-44500560,,,,,,,,,,,,,,,,,,,,,,,,,021-44500561,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران جاده مخصوص کرج، کیلومتر 9، روبروی شهاب خودرو، خیابان نخ زرین، ساختمان ایران زمین، پلاک 13",,,,,,,,,,,,,,,,
85,تکرنگ,,,, مشتریان صنعت رنگ,مصرف کننده,,021-88682404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران سعادت آباد، ابتدای خیابان علامه طباطبائی جنوبی، کوچه 40مرکزی، پلاک 1، طبقه1",,,,,,,,,,,,,,,,
86,تلاش رنگ,,,, مشتریان صنعت رنگ,مصرف کننده,,035-38278590,,,,,035-38265592,,,,,035-38278592,,,,,,,,,,,,,,,,,,,,,"09138548570, 09131525319, 09131525119",,,,,,,,,,,,,,,,یزد,یزد,"ایران یزد یزد آدرس 1 : یزد، شهرک صنعتی هرفته، بعد از نگهبانی ، اولین کوچه سمت چپ، سومین کارخانه شماره ثبت: 559 آدرس 2(پستی) : یزد، بلوار دانشجو، خیابان دکتر مسعود، روبروی مرکز بهداشتی درمانی حسن آخوندی",8981187887 8916748613,,,,,این آدرس پستی میباشد,,,,,,,,,,
87,تماشا رنگ,,,, مشتریان صنعت رنگ,مصرف کننده,,021-77220675,,,,,021-77220678,,,,,,,,,,,,,,,,,,,,,,,,,021-77808063,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
88,توسعه پردیس سبز,,,, مشتریان صنعت رنگ,,,88105568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"آدرس 1 : تهران، بهشتی ، میرزای شیرازی شمالی   نبش کوچه مقدم، ساختمان 242 ، طبقه 4 ، واحد 19",,,,,,,,,,,,,,,,
89,توکارنگ سپاهان,,,, مشتریان صنعت رنگ,مصرف کننده حلال,,031-36269077,,,,,031-36276615,,,,,,,,,,,,,,,,,,,,,,,,,031-36280433,"09131330969, 09133254302, 09133225681",,,,,,,,,,,,,,,,اصفهان,اصفهان,"ایران اصفهان اصفهان آدرس 1(پستی) : اصفهان، خیابان چهارباغ بالا، کوچه حضرت یحیی، ابتدای بن بست حامی، پلاک 290، طبقه 2 و 3",8173688343,,,,,,,,,,,,,,,
90,تولیدی صنعتی گوهر فام,,,, مشتریان صنعت رنگ,مصرف کننده,, 021-44960336,,,,, 021-44009542,,,141,,02144632300,,,,,021-44953457,,,,,,,,,,,,,,,"021-44009540, 44632303","09123484335, 09122011035, 09127631692, 09125983072",,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1  :تهران، میدان آزادی، جاده مخصوص، بین بیمه 3و4، لاین کندرو، پلاک 39
آدرس تغییر کرده آدرس 3 (پستی) : تهران، فلکه دوم صادقیه، بزرگراه اشرفی اصفهانی، ابتدای بزرگراه جلال ال احمد،پلاک451، طبقه دوم       تلفن : 44201996 آدرس 2 : آدرس کارخانه: جاده قدیم کرج قزوین، بین کمالشهر و هشتگرد، بعد از شهرک طاووسیه، خیابان مرغک، کوچه پارس",1393753311 1471676415 ,,,,,,,,,,,,,,,
91,تولیدی و بازرگانی پاژبهفر ایرانیان,,,, مشتریان صنعت رنگ,تولید کننده رنگ پودری,,021-88546519,,,,,021-88520201,,,,,021-88520202,,,,,,,,,,,,,,,,,,,,"88520206, 021-88746791",09126752061,,,,,,,,,,,,,,,,تهران,تهران,"آدرس 2(پستی) : تهران، خیابان دکتر بهشتی، مقابل خیابان دریای نور، نبش کوچه 11، پلاک 47، مجتمع پدیده، طبقه اول، واحد 115 ایران تهران تهران آدرس 1 : مشهد، خیابان دانشسرای جنوبی، پلاک 4",1587696446 9183663561,,,,,,,,,,,,,,,
92,,,تهرانی,, مشتریان صنعت رنگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09121620003, 09120601673",,,,,,,,,,,,,,,,,,,,,,,,از دوستان آقای علاقه بند,,,,,,,,,,
93,ثمر رنگان,,,, مشتریان صنعت رنگ,مصرف کننده,,021-3382621,,,,,021-88520540,,,,,021-3382623,,,,,,,,,,,,,,,,,,,,021-88760820,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران ابتدای سهروردی شمالی، جنب پل سیدخندان، خیابان برازنده، پلاک 54، طبقه اول، زنگ دوم",,,,,,,,,,,,,,,,
94,جاوید رنگ پویا,,,, مشتریان صنعت رنگ,تولید کننده رنگ پودری,,46872865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-46862226,"09121241351, 09121389373",,,,,,,,,,,,,,,,تهران تهران,تهران تهران,"آدرس 3  :کیلومتر 17 جاده مخصوص کرج   کیلومتر 5 جاده اندیشه   شهرک صنعتی زاگرس   خیابان گلبرگ جنوبی  خیابان گلچین  پنجم   پلاک 18 ایران تهران تهران آدرس 1(پستی) :تهران، شهر قدس، میدان قدس، انتهای خیابان چمن، خیابان گلبرگ جنوبی، گلچین 5،، پلاک 18 ایران تهران تهران آدرس 2 : تهران، سعادت آباد، بلوار 24متری کوچه یکم غربی خیابان دشت بهشت پلاک 31 واحد 4   آقا عزیز",3754186371 3754186371 ,,,,,,,,,,,,,,,
95,,هود,جبارزاده,, مشتریان صنعت رنگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09192069527,,,,,,,,,,,,,,,,,,"آدرس 1(پستی) : تهران، پیشوا، نقش جهان، خیابان میثم، ساختمان بلوط، واحد 2",1799684713,,,,,,,,,,,,,,,
96,جوهر گستر ایرانیان,,,, مشتریان صنعت رنگ,,,88105810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09131409381,,,,,,,,,,,,,,,,,,"ادرس 2 (پستی) : خیابان ولیعصر، خیابان مطهری، خیابان منصور، پلاک 68، طبقه دوم ادرس 1 :کرمان، کرمان مرکزی، بلوار جمهوری اسلامی ، کوچه امام جمعه 19، کوچه آبنوس 26، پلاک 0، طبقه 2",1595714194 7619647203,,,,,,,,,,,,,,,
97,,مهدی,جهانگیری,, مشتریان صنعت رنگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9122937382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,چسب غفاری,,,, مشتریان صنعت رنگ,مصرف کننده,, 021-66794516,,,,,021-66808777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 : تهران، میدان فتح، خیابان فتح هفتم، پلاک 6",1387685161,,,,,,,,,,,,,,,
100,چمن رنگ تهران,,,, مشتریان صنعت رنگ,,,02177208816,,,,,021-77204918,,,,,,,,,,,,,,,,,,,,,,,,,,09121710494,,,,,,,,,,,,,,,,,,"آدرس 1 : رباط کریم، ده حسن، خیابان خانی، خیابان زرین اب، پلاک 93 آدرس 2 : تهران، میدان الغدیر، خیابان الغدیر، روبروی دانشگاه علم و صنعت، پلاک 111، واحد 1",3764168338,,,,,,,,,,,,,,,
101,,امیر,حسن,, مشتریان صنعت رنگ,,مرد,021-33152647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09123714552,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران پاکدشت، خاتون آباد، مجتمع رضا، شرکت پارس پوشش خاوران",3391197946,,,,,این آدرس پستی میباشد,,,,,,,,,,
102,,,آذری,, مشتریان صنعت رنگ,,زن,021-57964000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,حمید رضا,دره شیری,, مشتریان صنعت رنگ,,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09131533374,,,,,,,,,,,,,,,,یزد,یزد,"ایران یزد یزد آدرس 1 (پستی) :یزد،  بلور شهید صدوقی، بعد از کوچه 19، پلاک 11",8917746880,,,,,,,,,,,,,,,
104,دریا گرد,,,, مشتریان صنعت رنگ,,,031-34424680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"آدرس 1 : اصفهان، خانه اصفهان، خ گلخانه، میدان گلها، کوچه بهار شرقی، پلاک 4",,,,,,,,,,,,,,,,
105,دفتر توسعه صنایع تکمیلی,,,, مشتریان صنعت رنگ,,,021-84993607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-88601290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,دقیق شیمی,,,, مشتریان صنعت رنگ,,,02188737755,,,,,021-66492434,,,,,,,,,,,,,,,,,,,,,,,,,88510143,09121835583,,,,,,,,,,,,,,,,,,"آدرس 1 : فومن، شهر صنعتی ورودی دوم، خیابان شهید انصاری آدرس 2 (پستی):  تهران، خیابان احمد قصیر(بخارست)، خیابان هشتم، پلاک 24",4337187584 1514714911,,,,,,,,,,,,,,,
107, مهر آریا,مهر آریا,,, مشتریان صنعت رنگ,دمپایی و کفی,,021-22853540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09126759705,,,,,,,,,,,,,,,,,,"شریعتی، بالاتر از پل سید خندان، روبروی خواجه عبدالله،جنب موسسه مالی و اعتباری کوثر ، پلاک 1030، طبقه 4، واحد 14 ،",,,,,,سفارش دمپایی و کفی نیکی و شیما,,,,,,,,,,
108,دمیس رنگ,,,, مشتریان صنعت رنگ,تولید کننده رنگ مایع,, 021-26131418,,,,,021-77763286,,,,,021-77763288,,,,,,,,,,,,,,,,,,,,,09123102619,,,,,,,,,,,,,,,,تهران,تهران,"آدرس 2(پستی) :تهران،  تهرانپارس، فلکه دوم ، مجتمع تجاری اداری پارسیان، طبقه 4، واحد 424 ایران تهران تهران آدرس 1 : تهران، شهرک صنعتی عباس آباد، بلوار ابن سینا، خیابان افرا، خیابان آبنوس، کوچه 4/7، پلاک 655",1654698419 3393163737,,,,,,,,,,,,,,,
109,,محمد صادق,دیا حسین,, مشتریان صنعت رنگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09163150495,,,,,,,,,,,,,,,,,,"آدرس 1 (پستی): خوزستان، اهواز، گلستان ، کوی سعدی، خیابان کارون شرقی، پلاک 89",6136676367,,,,,,,,,,,,,,,
110,,,ذاتی,, مشتریان صنعت رنگ,,زن,021-22370357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,راک شیمی,,,, مشتریان صنعت رنگ,مصرف کننده,, 021-88843227,,,,,026-37774830,,,,, 021-88843228,,,,,,,,,,,,,,,,,,,,026-37773574,09122278346,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 :تهران، ایران شهر جنوبی، ساختمان شماره 47، طبقه همکف، واحد 2 ، شرکت راک شیمی",,,,,,,,,,,,,,,,
112,رانا شیمی,,,, مشتریان صنعت رنگ,مصرف کننده,,021-88973580,,,,,021-88976325,,,,,021-88973588,,,,,,,,,,,,,,,,,,,,021-88973784,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
113,رانا کیمیا,,,, مشتریان صنعت رنگ,مصرف کننده,,021-88839503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
114,رانا کیمیا فام,,,, مشتریان صنعت رنگ,,,026-45333643,,,,,021-88727031,,,,,021-88727032 ,,,,,026-45333644,,,,,,,,,,,,,,,021-88728611,"09123863567, 09122230558",,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 :تهران،  بخارست، نبش خیابان 11، ساختمان 38، طبقه 10، واحد 38",3331495888,,,,,,,,,,,,,,,
115,راهبان,,,, مشتریان صنعت رنگ,مصرف کننده,,021-88825901,,,,,021-88825903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
116,رزین پلیمر,,,, مشتریان صنعت رنگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09131699131,,,,,,,,,,,,,,,,,,"آدرس 1 (پستی) : اصفهان، فلکه بزرگمهر، ابتدای مشتاق اول، ساختمان نگین زاینده رود",8153685819,,,,,,,,,,,,,,,
117,رزین صنعتی ایران,,,, مشتریان صنعت رنگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,رزین فام,,,, مشتریان صنعت رنگ,مصرف کننده,,021-77670725,,,,,021-77670727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
119,,نور محمد,رشیدی نیا,, مشتریان صنعت رنگ,,,021-89774638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09129341210,,,,,,,,,,,,,,,,,,"آدرس 1 : تهران، خیابان شریعتی، پلاک 492، طبقه 2، واحد 20",,,,,,,,,,,,,,,,
120,,فهیمه,رضایی,, مشتریان صنعت رنگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09121962860, 09905968561",,,,,,,,,,,,,,,,,,"پیروزی، نبرد جنوبی، مسلم جنوبی، کوچه 5، پلاک 42، واحد 7",,,,,,,,,,,,,,,,
121,صیاد,شهلا,رضائی-صیاد,, مشتریان صنعت رنگ,,مرد,66126819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09124367627, 09380917966",,,,,,,,,,,,,,,,تهران,تهران,"آدرس 1 (پستی): تهران، خیابان آزادی نبش کوچه وزارت کار، پلاک 355، طبقه سوم واحد 6 ایران تهران تهران ",3755179414 3755179414,,,,,,,,,,,,,,,
122,,عباس,رمضانی,, مشتریان صنعت رنگ,,,021-77205326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09193239836,,,,,,,,,,,,,,,,,,"دلاوران، تکاوران، کوچه خسروپور، پلاک 127 ، طبقه اول",,,,,,,,,,,,,,,,
123,رنگ آرا,,,, مشتریان صنعت رنگ,مصرف کننده,, 021-88000220,,,,,021-88027600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
124,رنگ آفرین,,,, مشتریان صنعت رنگ,مصرف کننده,,021-44986125,,,,,021-44986128,,,,,,,,,,,,,,,,,,,,,,,,,021-44986129,,,,  ,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران کیلومتر 20 جاده مخصوص کرج، خیابان بهار3، خیابان بهار2، پلاک4",,,,,,,,,,,,,,,,
125,رنگ آور,,,, مشتریان صنعت رنگ,مصرف کننده,,021-88730890,,,,,021-88750270 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
126,رنگ ارکیده طوس,,,, مشتریان صنعت رنگ,تولید کننده رنگ پودری,,051-3642065,,,,,051-32453361,,,,, 051-3661638 ,,,,,051-3661637,,,,,,,,,,,,,,,051-32453361,,,,,,,,,,,,,,,,,خراسان رضوی,مشهد,"ایران خراسان رضوی مشهد آدرس 2 (پستی ) :مشهد، بلوار مصلا، انتهای مصلای 13، پلاک 269 آدرس 1 کارخانه  : مشهد، شهرک صنعتی کلات تلاش شمالی، 21 شمالی، قطعه 308",9167685787 9358187456,,,,,,,,,,,,,,,
